Environment,Jenkins Pipeline Name,VM / Container,Repository URL,Runtime,Container Base Image,Build Command
DEV,HRC-Kollect-Dev-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-core-service.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-Dev-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/kollect-frontend.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-dev-client-billing-be,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-service.git,Nodejs v16.17.0,,
DEV,HRC-KOLLECT-Dev-client-Billing-FE-main,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-frontend.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-Dev-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-scheduler.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-Dev-frontdesk-backend-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-frontdesk-service.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-Pay-Portal-Backend-DEV,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
DEV,HRC-Kollect-Reporting-Module-DEV,On Container,https://gitlab.healthreconconnect.com/hrc/kollect-report-service.git,mvn 3.8.7,amazoncorretto:17,

STG,HRC-Kollect-Staging-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-core-service.git,Nodejs v16.17.0,,
STG,HRC-Kollect-Staging-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/kollect-frontend.git,Nodejs v16.17.0,,
STG,HRC-Kollect-Staging-CronJobs,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-scheduler.git,Nodejs v16.17.0,,
STG,HRC-KOLLECT-Stg-client-billing-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-service.git,Nodejs v16.17.0,,
STG,HRC-KOLLECT-Stg-client-billing-FE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-frontend.git,Nodejs v16.17.0,,
STG,HRC-Kollect-Reporting-Module-Staging,On Container,https://gitlab.healthreconconnect.com/hrc/kollect-report-service.git,mvn 3.8.7,amazoncorretto:17,
STG,HRC-Kollect-Pay-Portal-Backend-STG,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
STG,HRC-AMD-Sync-Service-STG,On Container,https://gitlab.healthreconconnect.com/hrc/amd-sync-service.git,mvn 3.8.7,eclipse-temurin:17-jdk-focal,

QA,HRC-Kollect-QA-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-core-service.git,Nodejs v16.17.0,,
QA,HRC-Kollect-QA-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/kollect-frontend.git,Nodejs v16.17.0,,
QA,HRC-KOLLECT-QA-client-billing-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-service.git,Nodejs v16.17.0,,
QA,HRC-KOLLECT-QA-client-billing-FE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-frontend.git,Nodejs v16.17.0,,
QA,HRC-Kollect-QA-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-scheduler.git,Nodejs v16.17.0,,
QA,HRC-Kollect-QA-frontdesk-backend-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-frontdesk-service.git,Nodejs v16.17.0,,
QA,HRC-Kollect-Reporting-Module-QA,On Container,https://gitlab.healthreconconnect.com/hrc/kollect-report-service.git,mvn 3.8.7,amazoncorretto:17,
QA,HRC-Kollect-Pay-Portal-Backend-QA,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
QA,HRC-AMD-Sync-Service-QA,On Container,https://gitlab.healthreconconnect.com/hrc/amd-sync-service.git,mvn 3.8.7,eclipse-temurin:17-jdk-focal,

DEMO,hrc-kollect-demo-backend,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-core-service.git,Nodejs v16.17.0,,
DEMO,hrc-kollect-demo-fe,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/kollect-frontend.git,Nodejs v16.17.0,,
DEMO,HRC-KOLLECT-Demo-client-billing-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-service.git,Nodejs v16.17.0,,
DEMO,HRC-KOLLECT-Demo-client-billing-FE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-frontend.git,Nodejs v16.17.0,,
DEMO,hrc-kollect-demo-cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-scheduler.git,Nodejs v16.17.0,,
DEMO,HRC-Kollect-Reporting-Module-DEMO,On Container,https://gitlab.healthreconconnect.com/hrc/kollect-report-service.git,mvn 3.8.7,amazoncorretto:17,
DEMO,HRC-Kollect-Pay-Portal-Backend-Demo,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
DEMO,HRC-AMD-Sync-Service-DEMO,On Container,https://gitlab.healthreconconnect.com/hrc/amd-sync-service.git,mvn 3.8.7,eclipse-temurin:17-jdk-focal,

PROD,HRC-Kollect-PROD-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-core-service.git,Nodejs v16.17.0,,
PROD,HRC-Kollect-PROD-FE,Static website and CDN,https://gitlab.healthreconconnect.com/hrc/kollect-frontend.git,Nodejs v16.17.0,,
PROD,HRC-KOLLECT-Prod-client-billing-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-service.git,Nodejs v16.17.0,,
PROD,HRC-KOLLECT-Prod-client-billing-FE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-client-billing-frontend.git,Nodejs v16.17.0,,
PROD,HRC-Kollect-PROD-Cron,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-scheduler.git,Nodejs v16.17.0,,
PROD,HRC-Kollect-Reporting-Module-PROD,On Container,https://gitlab.healthreconconnect.com/hrc/kollect-report-service.git,mvn 3.8.7,amazoncorretto:17,
PROD,HRC-Kollect-Pay-Portal-Backend-PROD,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/kollect-payportal-be.git,Nodejs v16.17.0,,
PROD,HRC-AMD-Sync-Service-PROD,On Container,https://gitlab.healthreconconnect.com/hrc/amd-sync-service.git,mvn 3.8.7,eclipse-temurin:17-jdk-focal,

Non-Healthcare-Demo,Non-Healthcare-Demo-BE,Pm2 app on VM,https://gitlab.healthreconconnect.com/hrc/one-kollect-core-service.git,Nodejs v16.17.0,,
